Location no.,Name,,Address 1 formatted postal,Address 2 formatted physical,phone,fax,contact,email,portfolio code,enrol FTE,Description
6176,Hallett Cove East PS OSHC/Vac,,,"Quailo Avenue, Hallett Cove SA 5158",(08) 8381 7577,(08) 8322 4696,,,,,Out of School Hours Care
6124,Hallett Cove School OSHC/Vac,,,"2-32 Gledsdale Road, Hallett Cove SA 5158",(08) 8381 3761,(08) 8381 6713,,,,,Out of School Hours Care
6942,Hallett Cove South Primary School OSHC,,,"Livonia Street, Hallett Cove SA 5158",(08) 8381 4080,(08) 8381 7216,,,,,Out of School Hours Care
6943,Hampstead Primary School OSHC,,,"38-56 Muller Road, Greenacres SA 5086",(08) 8261 2248,(08) 8266 1643,,,,,Out of School Hours Care
6068,Happy Valley Primary School OSHC/Vac,,,"18 Education Road, Happy Valley SA 5159",(08) 8322 2411,(08) 8381 6041,,,,,Out of School Hours Care
6161,Hawthorndene Primary School OSHC/Vac,,,"Suffolk Road, Hawthorndene SA 5051",(08) 8278 1323,(08) 8370 2681,,,,,Out of School Hours Care
6134,Hendon Primary School OSHC/Vac,,,"Cedar Avenue, Royal Park SA 5014",(08) 8345 3190,(08) 8445 1493,,,,,Out of School Hours Care
5973,Henley Beach Primary Out of School Hours Care,,,"38 Hazel Terrace, Henley Beach South SA 5022",(08) 8356 2117,(08) 8235 1267,,,,,Out of School Hours Care
5997,Hewett Primary School OSHC,,,"Kingfisher Drive, Hewett SA 5118",(08) 8522 1486,(08) 8522 1837,,,,,Out of School Hours Care
6746,Highbury Primary School OSHC/Vac,,"1 Payne Street, Hope Valley SA 5090","Cnr Honeysuckle Drive & Payne St, Hope Valley SA 5090",(08) 8264 6311,(08) 8396 1701,,,,,Out of School Hours Care
6069,Highgate Primary School OSHC/Vac,,,"12 Hampstead Avenue, Highgate SA 5063",(08) 8357 9207,(08) 8373 3087,,,,,Out of School Hours Care
6845,Hillcrest Primary School OSHC/Vac,,,"Condamine Street, Hillcrest SA 5086",(08) 8261 2845,(08) 8266 1861,,,,,Out of School Hours Care
6228,Holy Family Catholic School OSHC/Vac,,"PO Box 2035, Salisbury Downs SA 5108","71 Shepherdson Road, Parafield Gardens SA 5107",(08) 8250 6616,(08) 8250 3043,,,,,Out of School Hours Care
6842,Imagine Kilburn Kids School Holiday Program,,"PO Box 155, Kilburn SA 5084","59 Gladstone Street, Kilburn SA 5084",(08) 8260 7110,,,,,,Out of School Hours Care
7974,Immanuel Lutheran Schl Gawler Camp Australia OSHC,,,"11 Lyndoch Road, Gawler East SA 5118",,,,,,,Out of School Hours Care
5448,Immanuel Primary School Camp Australia OSHC,,"1731 Malvern Road, Glen Iris VIC 3146","Cnr Saratoga Drive & Morphett Road, Novar Gardens SA 5040",1300 105 343,,,,,,Out of School Hours Care
6619,Ingle Farm East Primary School OSHC/Vac,,,"18 Halidon Street, Ingle Farm SA 5098",(08) 8264 0665,(08) 8396 1862,,,,,Out of School Hours Care
6194,Ingle Farm Primary School OSHC/Vac,,"PO Box 423, Ingle Farm SA 5098","2 Belalie Road, Ingle Farm SA 5098",(08) 8262 7208,(08) 8349 7837,,,,,Out of School Hours Care
6597,Inner North East Adelaide YMCA OSHC/Vac,,,"39 Smith Street, Walkerville SA 5081",(08) 8344 3811,(08) 8342 0040,,,,,Out of School Hours Care
6071,Kangarilla/Clarendon OSHC - Kangarilla,,,"Main Road, Kangarilla SA 5157",(08) 8383 7131,(08) 8383 7327,,,,,Out of School Hours Care
6764,Kapunda PS OSHC/Vac,,"PO Box 500, Kapunda SA 5373","Mildred Street, Kapunda SA 5373",(08) 8566 3793,(08) 8566 3793,,,,,Out of School Hours Care
6215,Keithcot Kings OSHC,,,"5 Keithcot Farm Drive, Wynn Vale SA 5127",(08) 8289 1133,(08) 8289 1554,,,,,Out of School Hours Care
6783,Kersbrook Primary School OSHC,,,"Bowden Street, Kersbrook SA 5231",0403 604 716,(08) 8389 3346,,,,,Out of School Hours Care
6835,KI CC Kingscote OSHC/Vac,,,"50 Buller Street, Kingscote SA 5223",(08) 8553 2436,(08) 8553 2483,,,,,Out of School Hours Care
6533,Kidman Park PS OSHC/Vac,,,"1 Dean Avenue, Kidman Park SA 5025",(08) 8353 2444,(08) 8235 1357,,,,,Out of School Hours Care
6437,Kilkenny Primary School OSHC,,,"Jane Street, West Croydon SA 5008",(08) 8345 4138,(08) 8445 8206,,,,,Out of School Hours Care
6690,Kirinari Community School OSHC,,,"18 Trimmer Terrace, Unley SA 5061",(08) 8271 5046,(08) 8357 7706,,,,,Out of School Hours Care
6146,Klemzig Primary School OSHC/Vac,,,"2 Hay Street, Klemzig SA 5087",(08) 8369 2456,(08) 8266 2132,,,,,Out of School Hours Care
6073,Largs Bay Primary School OSHC/Vac,,,"215 Fletcher Road, Largs Bay SA 5016",(08) 8341 5350,(08) 8449 8949,,,,,Out of School Hours Care
6074,Le Fevre Peninsula PS - Nth Haven Schools OSHC,,"c/- North Haven PS, Tapping Crescent, North Haven SA 5018","Shorney Street, Birkenhead SA 5015",(08) 8341 6825,(08) 8449 7227,,,,,Out of School Hours Care
6125,Linden Park Primary School OSHC/Vac,,,"14 Hay Road, Linden Park SA 5065",(08) 8379 4610,(08) 8379 2571,,,,,Out of School Hours Care
6736,Littlehampton Primary School OSHC/Vac,,,"16-30 Baker Street, Littlehampton SA 5250",(08) 8391 4742,(08) 8398 2154,,,,,Out of School Hours Care
6814,Lobethal PS OSHC/Vac,,,"1 School Road, Lobethal SA 5241",(08) 8389 6419,(08) 8389 6448,,,,,Out of School Hours Care
6354,Lockleys North Primary School OSHC/Vac,,,"55 Malurus Avenue, Lockleys SA 5032",(08) 8443 5308,(08) 8234 2576,,,,,Out of School Hours Care
6750,Loreto College Junior School OSHC/Vac,,,"316 Portrush Road, Marryatville SA 5068",(08) 8334 4200,(08) 8364 3153,,,,,Out of School Hours Care
6740,Loxton District Outside School Hours Care Program,,"PO Box 185, Loxton SA 5333","Pyap Street, Loxton SA 5333",(08) 8584 6501,(08) 8584 5175,,,,,Out of School Hours Care
6830,Lyndoch PS OSHC/Vac,,,"Margaret Street, Lyndoch SA 5351",(08) 8524 5618,(08) 8524 4763,,,,,Out of School Hours Care
6126,Madison Park Primary School OSHC/Vac,,,"19 Lincoln Avenue, Salisbury East SA 5109",(08) 8281 5844,(08) 8281 5852,,,,,Out of School Hours Care
6077,Magill School OSHC/Vac,,,"Adelaide Street, Magill SA 5072",(08) 8332 5762,(08) 8332 5762,,,,,Out of School Hours Care
6166,Marion Primary School OSHC/Vac,,,"2-22 Malcolm Avenue, Marion SA 5043",(08) 8277 2293,,,,,,Out of School Hours Care
6122,Mark Oliphant College (B-12) OSHC,,"PO Box 196, Smithfield Plains SA 5114","99 Douglas Drive, Munno Para SA 5115",(08) 8209 1600,(08) 8209 1650,,,,,Out of School Hours Care
6078,Marryatville PS - The Red Shed OSHC/Vac,,,"Dankel Avenue, Kensington SA 5068",(08) 8332 0501,(08) 8332 4947,,,,,Out of School Hours Care
6695,Mawson Lakes School OSHC/Vac,,"PO Box 6, Pooraka SA 5095","Garden Terrace, Mawson Lakes SA 5095",0401 121 318,(08) 8359 1762,,,,,Out of School Hours Care
6079,McLaren Flat - Willunga PS OSHC,,,"49 Main Road, McLaren Flat SA 5171",0430 554 592,(08) 8383 0225,,,,,Out of School Hours Care
6080,McLaren Vale - Willunga PS OSHC,,,"Caffrey Street, McLaren Vale SA 5171",(08) 8323 9217,(08) 8323 9238,,,,,Out of School Hours Care
6535,Meadows PS OSHC/Vac,,,"Mawson Road, Meadows SA 5201",(08) 8388 3216,(08) 8388 3405,,,,,Out of School Hours Care
5438,Memorial Oval Primary School OSHC/Vac,,,"Bradford Street, Whyalla SA 5600",(08) 8645 1812,(08) 8645 1812,,,,,Out of School Hours Care
6760,Mercedes College OSHC/Vac,,,"540 Fullarton Road, Springfield SA 5062",(08) 8372 3248,(08) 8379 9540,,,,,Out of School Hours Care
2102,Midway Road Community House Vac,,,"48 Midway Road, Elizabeth East SA 5112",(08) 8255 4352,(08) 8255 4352,,,,,Out of School Hours Care
6364,Minda Incorporated Vacation Care,,,"13 Warwick Avenue, Dulwich SA 5065",(08) 8179 5256,(08) 8179 5252,,,,,Out of School Hours Care
6536,Mitcham PS OSHC/Vac,,,"Hillview Road, Kingswood SA 5062",0413 018 317,(08) 8373 3015,,,,,Out of School Hours Care
6081,Modbury CPC-7 OSHC/Vac,,,"2-18 Golden Grove Road, Modbury North SA 5092",(08) 8396 3148,(08) 8396 1704,,,,,Out of School Hours Care
6173,Modbury South Primary School OSHC/Vac,,"PO Box 42, Hope Valley SA 5090","Dampier Avenue, Hope Valley SA 5090",(08) 8264 3527,(08) 8396 1705,,,,,Out of School Hours Care
6393,Modbury Special School OSHC/Vac,,,"Dampier Avenue, Hope Valley SA 5090",(08) 8263 4449,(08) 8395 0332,,,,,Out of School Hours Care
6189,Modbury West School OSHC/Vac,,,"450-474 Wright Road, Modbury SA 5092",(08) 8395 0012,(08) 8396 1712,,,,,Out of School Hours Care
5361,Moonta Area School OSHC,,"PO Box 113, Moonta SA 5558","Blanche Terrace, Moonta SA 5558",(08) 8825 2088,(08) 8825 2609,,,,,Out of School Hours Care
6196,Morphett Vale East PS OSHC/Vac,,,"Monarch Street, Morphett Vale SA 5162",(08) 8326 7506,(08) 8326 3513,,,,,Out of School Hours Care
5446,Morphett Vale Primary School OSHC,,,"Lawrence Street, Morphett Vale SA 5162",(08) 8382 2901,,,,,,Out of School Hours Care
6953,Mount Barker Primary School Combined OSHC/Vac,,,"2A Dumas Street, Mount Barker SA 5251",(08) 8391 1241,(08) 8391 0586,,,,,Out of School Hours Care
6208,Mount Barker South PS OSHC/Vac,,,"33-45 Princes Road, Mount Barker SA 5251",(08) 8398 2474,(08) 8391 0912,,,,,Out of School Hours Care
5998,Mount Compass Area School OSHC,,"PO Box 54, Mount Compass SA 5210","School Road, Mount Compass SA 5210",(08) 8556 8219,(08) 8556 8471,,,,,Out of School Hours Care
6696,Mount Pleasant PS OSHC,,,"22 Hospital Road, Mount Pleasant SA 5235",(08) 8568 2542,(08) 8568 2516,,,,,Out of School Hours Care
6839,Munno Para PS OSHC/Vac,,,"Maltarra Road, Munno Para SA 5115",(08) 8254 8322,(08) 8254 9231,,,,,Out of School Hours Care
6083,Murray Bridge North OSHC/Vac,,,"1 North Terrace, Murray Bridge SA 5253",(08) 8531 0179,(08) 8531 0004,,,,,Out of School Hours Care
6154,Murray Bridge South PS OSHC/Vac,,,"54 Joyce Street, Murray Bridge SA 5253",(08) 8532 2155,(08) 8531 0083,,,,,Out of School Hours Care
6794,Mylor Primary School OSHC/Vac,,,"220 Strathalbyn Road, Mylor SA 5153",,,,,,,Out of School Hours Care
6084,Nailsworth Primary School OSHC/Vac,,,"2 Balfour Street, Nailsworth SA 5083",(08) 8344 9700,(08) 8269 5330,,,,,Out of School Hours Care
6697,Nairne PS OSHC/Vac,,"PO Box 105, Nairne SA 5252","5 Saleyard Road, Nairne SA 5252",(08) 8388 0828,(08) 8388 6931,,,,,Out of School Hours Care
6085,Naracoorte PS OSHC/Vac,,"PO Box 534, Naracoorte SA 5271","Park Terrace, Naracoorte SA 5271",(08) 8762 2014,(08) 8762 1677,,,,,Out of School Hours Care
6946,Nazareth Catholic College OSHC - Findon,,"PO Box 28, Findon SA 5023","176 Crittenden Road, Findon SA 5023",(08) 8406 5000,(08) 8406 5001,,info@nazareth.org.au,,,Out of School Hours Care
6538,Nicolson Avenue PS OSHC/Vac,,,"Nicolson Avenue, Whyalla Norrie SA 5608",(08) 8645 8685,(08) 8645 2237,,,,,Out of School Hours Care
6182,Noarlunga Downs Primary School OSHC,,,"Canterbury Crescent, Noarlunga Downs SA 5168",(08) 8384 4395,(08) 8326 3519,,,,,Out of School Hours Care
6591,Noarlunga Leisure Centre Vacation Care,,"PO Box 410, Noarlunga Centre SA 5168","David Witton Drive, Noarlunga Centre SA 5168",(08) 8384 1144,(08) 8384 5747,,,,,Out of School Hours Care
6070,North Adelaide Primary School OSHC/ Vac,,,"62-80 Tynte Street, North Adelaide SA 5006",(08) 8267 5127,(08) 8267 5127,,,,,Out of School Hours Care
6204,North Haven School OSHC/ Vac,,,"Tapping Crescent, North Haven SA 5018",(08) 8248 5844,(08) 8341 8214,,,,,Out of School Hours Care
5992,North Ingle Out of School Hours Care,,"57 Darley Road, Paradise SA 5075","7 Rothwell Avenue, Ingle Farm SA 5098",(08) 8336 0064,(08) 8336 0079,,,,,Out of School Hours Care
6840,Northfield PS OSHC/Vac,,,"North Avenue, Northfield SA 5085",(08) 8262 2607,(08) 8349 7830,,,,,Out of School Hours Care
6593,Norton Summit Primary School OSHC,,,"15 Crescent Drive, Norton Summit SA 5136",(08) 8390 1771,(08) 8390 1063,,,,,Out of School Hours Care
6057,Norwood Primary School OSHC/Vac,,"37 Osmond Terrace, Norwood SA 5067","96 Beulah Road, Norwood SA 5067",(08) 8362 0805,(08) 8362 0102,,,,,Out of School Hours Care
6431,Nuriootpa - Barossa OSHC/Vac,,"PO Box 646, Nuriootpa SA 5355","15 Buna Terrace, Nuriootpa SA 5355",(08) 8562 4387,(08) 8562 1958,,,,,Out of School Hours Care
6788,Ocean View College OSHC/Vac,,,"Gedville Road, Taperoo SA 5017",(08) 8248 2593,(08) 8341 9920,,,,,Out of School Hours Care
6766,O'Sullivan Beach PS OSHC/Vac,,,"51 Galloway Road, O'Sullivan Beach SA 5166",(08) 8382 5888,(08) 8326 3578,,,,,Out of School Hours Care
6544,Our Lady of Grace OSHC,,,"38 Beadnall Terrace, Glengowrie SA 5044",(08) 8295 2934,(08) 8294 8831,,,,,Out of School Hours Care
6799,Our Lady of Hope Greenwith OSHC/Vac,,,"Cnr Golden Grove Road & Golden Way, Greenwith SA 5125",(08) 8289 9751,(08) 8289 8440,,,,,Out of School Hours Care
6231,Our Lady of Mount Carmel PS OSHC/Vac,,,"17 Pennington Terrace, Pennington SA 5013",(08) 8447 1405,(08) 8341 1017,,,,,Out of School Hours Care
3009,Our Lady of the Visitation OSHC/Vac,,,"433 Victoria Road, Taperoo SA 5017",(08) 8248 2480,(08) 8341 9456,,,,,Out of School Hours Care
6956,Our Lady Queen of Peace School Combined OSHC,,,"106 Botting Street, Albert Park SA 5014",0417 840 700,(08) 8347 0287,,,,,Out of School Hours Care
6227,Our Saviour Lutheran School OSHC/Vac,,,"28 Taylors Road, Aberfoyle Park SA 5159",(08) 8270 6500,(08) 8270 5362,,bursar@osls.sa.edu.au,,,Out of School Hours Care
2105,Para Hills PS OSHC,,"67 Kesters Road, Para Hills West SA 5096","2 Frances Avenue, Para Hills SA 5096",(08) 8349 6007,(08) 8349 4939,,,,,Out of School Hours Care
6220,Para Hills West PS OSHC/Vac,,"67 Kesters Road, Para Hills West SA 5096","21 Balkara Road, Para Hills West SA 5096",(08) 8349 6007,(08) 8349 4939,,,,,Out of School Hours Care
6174,Para Vista Primary School OSHC/Vac,,,"351 Montague Road, Para Vista SA 5093",(08) 8264 4261,(08) 8396 1987,,,,,Out of School Hours Care
6881,Paradise Community Church OSHC/Vac,,,"57 Darley Road, Paradise SA 5075",(08) 8336 0068,,,,,,Out of School Hours Care
6162,Paradise Primary School OSHC/Vac,,,"100 George Street, Paradise SA 5075",(08) 7120 7186,(08) 8336 9323,,paradiseforkids@internode.on.net,,,Out of School Hours Care
6168,Parafield Gardens Primary School OSHC/Vac,,,"23 Shepherdson Road, Parafield Gardens SA 5107",(08) 8281 5104,(08) 8281 5857,,,,,Out of School Hours Care
6133,Paringa Park Kids Care OSHC/Vac,,,"Paringa Park PS, 21 Bowker Street, North Brighton SA 5048",0430 223 509,(08) 8296 9401,,,,,Out of School Hours Care
5110,Parks Community Centre Vacation Care,,"PO Box 110, Port Adelaide SA 5015","2-46 Cowan Street, Angle Park SA 5010",(08) 8243 5678,(08) 8244 4284,,,,,Out of School Hours Care
6222,Parkside OSHC Centre,,,"12 Robsart Street, Parkside SA 5063",(08) 8271 2437,(08) 8373 3075,,,,,Out of School Hours Care
6855,Pembroke School Camp Australia OSHC/Vac,,"8 Holden Street, Kensington Park SA 5068","342 The Parade, Kensington Park SA 5068",(08) 8366 6216,(08) 8366 6201,,,,,Out of School Hours Care
6584,Penola OSHC,,,"7 Scott Street, Penola SA 5277",(08) 8737 2535,(08) 8737 2821,,,,,Out of School Hours Care
6545,Pimpala PS OSHC/Vac,,,"24 Vanstone Avenue, Morphett Vale SA 5162",(08) 8326 0900,(08) 8326 3526,,,,,Out of School Hours Care
5996,Playford McAuley Campus OSHC/Vac,,,"210 Adams Road, Craigmore SA 5114",(08) 8254 4198,(08) 8254 2027,,,,,Out of School Hours Care
6088,Plympton Primary School OSHC/Vac,,,"19 Owen Street, Plympton SA 5038",(08) 8293 1227,(08) 8297 1582,,,,,Out of School Hours Care
6089,Pooraka Primary School OSHC/Vac,,,"11 South Terrace, Pooraka SA 5095",(08) 8262 1463,(08) 8349 7838,,,,,Out of School Hours Care
6090,Port Augusta West PS OSHC/Vac,,,"46 Mildred Street, Port Augusta West SA 5700",(08) 8642 2637,(08) 8642 3432,,,,,Out of School Hours Care
6091,Port Elliot PS - Southern Fleurieu OSHC/Vac,,,"4 Cameron Street, Port Elliot SA 5212",(08) 8554 3399,(08) 8554 2444,,,,,Out of School Hours Care
6793,Port Lincoln Out of School Hours Care - YMCA,,"PO Box 2704, Port Lincoln SA 5606","9 Bowling Avenue, Port Lincoln SA 5606",0407 790 515,(08) 8682 3912,,,,,Out of School Hours Care
6765,Port Noarlunga PS OSHC/Vac,,,"10 James Avenue, Port Noarlunga SA 5167",(08) 8382 2455,(08) 8326 3530,,,,,Out of School Hours Care
5910,Portside Christian College OSHC,,,"1 Causeway Road, New Port SA 5015",(08) 8341 5133,,,,,,Out of School Hours Care
6546,Prescott Primary Southern OSHC/Vac,,,"140 Pimpala Road, Morphett Vale SA 5162",(08) 8381 1050,(08) 8387 3170,,,,,Out of School Hours Care
5441,Prince Alfred College OSHC,,,"23 Dequetteville Terrace, Kent Town SA 5067",(08) 8334 1268,,,,,,Out of School Hours Care
6121,Prospect North Primary School OSHC/Vac,,,"30 Stuart Road, Prospect SA 5082",(08) 8344 2818,(08) 8344 3697,,,,,Out of School Hours Care
6093,Prospect Primary School OSHC/Vac,,,"32 Olive Street, Prospect SA 5082",(08) 8344 5696,,,proscccc@camtech.net.au,,,Out of School Hours Care
6856,Pulteney Grammar School OSHC/Vac,,"190 South Terrace, Adelaide SA 5000","66 Symonds Place, Adelaide SA 5000",(08) 8216 5545,(08) 8216 5588,,,,,Out of School Hours Care
7975,Redeemer Lutheran School Camp Australia OSHC,,,"Vine Street, Nuriootpa SA 5355",,,,,,,Out of School Hours Care
6186,Redwood Park Primary School OSHC/Vac,,,"2-10 Lokan Street, Redwood Park SA 5097",(08) 8263 8333,(08) 8396 1713,,,,,Out of School Hours Care
6082,Reidy Park - Mt Gambier OSHC,,"PO Box 524, Mount Gambier SA 5290","O'Halloran Terrace, Mount Gambier SA 5290",(08) 8724 9264,(08) 8724 7066,,mgosh@bigpond.com,,,Out of School Hours Care
7117,Renmark OSHC/Vac,,"58 Murtho Street, Renmark SA 5341","66 Murtho Street, Renmark SA 5341",(08) 8586 4481,(08) 8586 5316,,,,,Out of School Hours Care
6177,Reynella East Primary School Life Leisure OSHC/Vac,,,"63 Malbeck Drive, Reynella East SA 5161",(08) 8381 5255,(08) 8381 5084,,,,,Out of School Hours Care
6094,Reynella Primary School OSHC/Vac,,,"55-63 Concord Drive, Old Reynella SA 5161",(08) 8387 7483,(08) 8322 2939,,,,,Out of School Hours Care
6172,Reynella South Primary School OSHC/Vac,,,"119-135 Sherriffs Road, Reynella SA 5161",(08) 8381 1168,(08) 8381 4932,,,,,Out of School Hours Care
6095,Richmond Primary School OSHC/Vac,,,"8 Surrey Road, Keswick SA 5035",(08) 8351 0794,(08) 8297 1782,,,,,Out of School Hours Care
6175,Ridgehaven Primary School OSHC/Vac,,,"479 Milne Road, Ridgehaven SA 5097",(08) 8396 3327,(08) 8396 1715,,,,,Out of School Hours Care
6884,Riverdale OSHC/Vac,,"Child Care Services Aust Pty Ltd, 267 Salisbury Highway, Salisbury Downs SA 5108","15 de Mille Street, Salisbury Downs SA 5108",(08) 8182 4916,(08) 8281 1745,,,,,Out of School Hours Care
6547,Rostrevor College Camp Aust OSHC/Vac,,,"67-91 Glen Stuart Road, Woodforde SA 5072",(08) 8364 8333,(08) 8364 8397,,,,,Out of School Hours Care
6421,Roxby Downs Area School OSHC/Vac,,,"7 Richardson Place, Roxby Downs SA 5725",0417 813 209,(08) 8671 0210,,,,,Out of School Hours Care
6555,Salisbury Heights PS OSHC/Vac,,,"9 Ward Street, Salisbury Heights SA 5109",(08) 8281 1700,(08) 8281 5861,,,,,Out of School Hours Care
6130,Salisbury North School OSHC/Vac,,"38 Bagster Road, Salisbury North SA 5108","Rolleston Avenue, Salisbury North SA 5108",0412 176 788,(08) 8281 5862,,,,,Out of School Hours Care
6877,Salisbury Park Primary School OSHC,,"PO Box 910, Salisbury SA 5108","66 Goddard Drive, Salisbury Park SA 5109",(08) 8281 6422,(08) 8281 5864,,,,,Out of School Hours Care
6097,Salisbury Primary School OSHC/Vac,,"PO Box 539, Salisbury SA 5108","10 Compuda Street, Salisbury SA 5108",(08) 8283 1927,(08) 8281 5868,,,,,Out of School Hours Care
6882,Samaritan College OSHC/Vac,,"PO Box 351, Whyalla SA 5600","10 Toal Street, Whyalla Stuart SA 5608",(08) 8649 3530,(08) 8649 1911,,,,,Out of School Hours Care
6590,Scotch College Camp Australia OSHC/Vac,,,"Norman Walk, Mitcham SA 5062",0408 894 526,(08) 8274 4347,,,,,Out of School Hours Care
6147,Seacliff Primary School OSHC/Vac,,,"Barwell Avenue, Seacliff SA 5049",(08) 8298 3742,(08) 8296 5729,,,,,Out of School Hours Care
6785,Seaford District CS OSHC - All Saints,,"600 Grand Boulevard, Seaford SA 5169","621 Grand Boulevard, Seaford SA 5169",(08) 8327 0020,(08) 8327 3568,,,,,Out of School Hours Care
6165,Seaview Downs Primary School OSHC/Vac,,,"26-44 Ross Street, Seaview Downs SA 5049",(08) 8296 9950,(08) 8298 3155,,,,,Out of School Hours Care
8217,Settlers Farm Primary School OSHC/Vac,,"PO Box 605, Salisbury South SA 5106","23 Barassi Street, Paralowie SA 5108",(08) 8280 8108,(08) 8280 6403,,,,,Out of School Hours Care
6857,Seymour College Camp Australia OSHC,,,"546 Portrush Road, Glen Osmond SA 5064",,,,,,,Out of School Hours Care
6207,Sheidow Park Primary School OSHC/Vac,,,"21-43 Adams Road, Sheidow Park SA 5158",(08) 8322 8291,(08) 8381 8509,,spsoshc@senet.com.au,,,Out of School Hours Care
6963,Southern Vales Christian College Aldinga OSHC,,"PO Box 70, Morphett Vale SA 5162","240 Aldinga Beach Road, Aldinga SA 5173",(08) 8556 6118,(08) 8556 5339,,,,,Out of School Hours Care
6955,Southern Vales Christian College Combined OSHC,,"PO Box 70, Morphett Vale SA 5162","140 States Road, Morphett Vale SA 5162",0458 381 987,(08) 8322 3281,,,,,Out of School Hours Care
6747,St Agnes Campus - Modbury South OSHC,,"Dampier Avenue, Hope Valley SA 5090","250 Smart Road, St Agnes SA 5097",(08) 8264 3527,(08) 8396 1705,,,,,Out of School Hours Care
6981,St Aloysius College OSHC,,,"53 Wakefield Street, Adelaide SA 5000",(08) 8217 3236,,,,,,Out of School Hours Care
6978,St Andrews OSHC/Vac Camp Australia,,,"22 Smith Street, Walkerville SA 5081",(08) 8168 5555,(08) 8344 8670,,,,,Out of School Hours Care
6838,St Anthony's School OSHC/Vac,,,"1 Castle Street, Edwardstown SA 5039",(08) 8293 2532,(08) 8293 5892,,,,,Out of School Hours Care
6232,St Augustine's Parish School OSHC/Vac,,,"25 Commercial Road, Salisbury SA 5108",(08) 8182 7987,(08) 8182 7998,,,,,Out of School Hours Care
6556,St Bernadette's OSHC Camp Australia Combined,,,"54 Ragless Street, St Marys SA 5042",(08) 8276 5394,(08) 8374 1743,,,,,Out of School Hours Care
6819,St Brigid's School Out of School Hours Care,,,"45 Way Street, Kilburn SA 5084",(08) 8262 3812,(08) 8262 5011,,,,,Out of School Hours Care
4106,St Catherine's - Mt Lofty Area OSHC,,"c/- 3 Fairview Rd, Aldgate SA 5154","22 Ayers Hill Road, Stirling SA 5152",0413 483 729,(08) 8370 8218,,,,,Out of School Hours Care
6557,St Columba College OSHC/Vac,,,"President Avenue, Andrews Farm SA 5114",(08) 8254 0603,(08) 8254 0690,,,,,Out of School Hours Care
4149,St David's Parish School Care,,"PO Box 647, Tea Tree Gully SA 5091","40 Elizabeth Street, Tea Tree Gully SA 5091",(08) 8360 6330,(08) 8360 6327,,,,,Out of School Hours Care
6961,St Francis de Sales College OSHC Camp Australia,,,"8 Dutton Road, Mount Barker SA 5251",(08) 8393 1000,(08) 8393 1040,,,,,Out of School Hours Care
6562,St Francis of Assisi Camp Australia OSHC,,,"57 Newton Road, Newton SA 5074",(08) 8337 4022,(08) 8365 3295,,,,,Out of School Hours Care
6563,St Francis School OSHC - Lockleys,,,"458 Henley Beach Road, Lockleys SA 5032",(08) 8356 6404,(08) 8235 2831,,,,,Out of School Hours Care
6226,St Francis Xavier Regional School OSHC/Vac,,,"4 Carignane Street, Wynn Vale SA 5127",(08) 8251 1500,(08) 8289 2102,,,,,Out of School Hours Care
6564,St Gabriel's School OSHC,,"PO Box 179, Blair Athol SA 5084","17 Whittington Street, Enfield SA 5085",(08) 8262 6388,(08) 8262 8435,,,,,Out of School Hours Care
6698,St Ignatius Junior School OSHC,,,"62 Queen Street, Norwood SA 5067",(08) 8130 7113,(08) 8332 2002,,,,,Out of School Hours Care
5417,St Jakobi Lutheran School OSHC/Vac,,"PO Box 138, Lyndoch SA 5351","208 Lyndoch Valley Road, Lyndoch SA 5351",(08) 8524 4137,(08) 8524 5690,,,,,Out of School Hours Care
6565,St John Bosco School OSHC/Vac,,,"19 Lipsett Tce, Brooklyn Park SA 5032",(08) 8352 7073,(08) 8443 3040,,,,,Out of School Hours Care
6820,St John the Apostle Out of School Hours Care,,,"14 Winnerah Road, Christies Beach SA 5165",(08) 8382 2064,(08) 8326 1402,,,,,Out of School Hours Care
6566,St John the Baptist Catholic School OSHC/Vac,,,"342 Anzac Highway, Plympton SA 5038",(08) 8293 5173,(08) 8293 8992,,,,,Out of School Hours Care
6699,St John's Grammar School OSHC/Vac,,"PO Box 234, Belair SA 5052","42-44 Sheoak Road, Belair SA 5052",(08) 8278 4824,(08) 8278 8864,,,,,Out of School Hours Care
6596,St Joseph's Memorial School OSHC/Vac - Norwood,,"PO Box 4023, Norwood South SA 5067","139 William Street, Norwood SA 5067",(08) 8331 7279,(08) 8364 3273,,,,,Out of School Hours Care
4116,St Joseph's PS OSHC - Kingswood,,,"33 Cambridge Terrace, Kingswood SA 5062",(08) 8271 6553,(08) 8357 9199,,stjoking@senet.com.au,,,Out of School Hours Care
6572,St Joseph's School OSHC Hindmarsh,,,"56 Albemarle Street, West Hindmarsh SA 5007",0408 809 107,(08) 8346 4970,,,,,Out of School Hours Care
6588,St Joseph's School OSHC Ottoway,,,"10 Ina Avenue, Ottoway SA 5013",(08) 8447 4969,(08) 8241 0380,,,,,Out of School Hours Care
6573,St Joseph's School OSHC Payneham,,,"78 Portrush Road, Payneham SA 5070",(08) 8362 2153,(08) 8362 9964,,,,,Out of School Hours Care
6574,St Joseph's School OSHC Tranmere,,,"1 Birkinshaw Ave, Tranmere SA 5073",(08) 8431 2834,(08) 8431 2022,,,,,Out of School Hours Care
